data,age,gender
65,45,1
65,,
68,,
71,,
74,,
73,,
74,,
72,,
72,,
72,,
73,,
76,,
76,,
73,,
73,,
69,,
73,,
72,,
70,,
72,,
72,,
78,,
78,,
78,,
71,,
72,,
71,,
75,,
72,,
72,,
72,,
74,,
77,,
75,,
75,,
72,,
73,,
71,,
73,,
69,,
70,,
74,,
73,,
77,,
75,,
75,,
73,,
72,,
72,,
74,,
72,,
70,,
70,,
71,,
73,,
75,,
75,,
74,,
73,,
74,,
78,,
71,,
73,,
73,,
69,,
74,,
77,,
77,,
72,,
72,,
74,,
75,,
71,,
73,,
74,,
74,,
76,,
73,,
73,,
71,,
72,,
72,,
73,,
72,,
74,,
73,,
69,,
69,,
371,,
371,,
11,,
9,,
9,,
9,,
11,,
8,,
8,,
9,,
4,,
0,,
0,,
937,,
957,,
955,,
954,,
958,,
947,,
290,,
281,,
281,,
409,,
421,,
382,,
321,,
241,,
157,,
93,,
107,,
89,,
80,,
80,,
89,,
198,,
180,,
124,,
249,,
288,,
323,,
184,,
124,,
107,,
107,,
78,,
71,,
79,,
86,,
77,,
80,,
94,,
89,,
83,,
78,,
78,,
82,,
79,,
70,,
78,,
77,,
83,,
79,,
83,,
79,,
83,,
83,,
80,,
74,,
75,,
78,,
70,,
76,,
73,,
79,,
81,,
82,,
82,,
76,,
80,,
81,,
81,,
73,,
74,,
75,,
74,,
74,,
80,,
80,,
80,,
81,,
77,,
81,,
79,,
77,,
79,,
77,,
82,,
80,,
80,,
79,,
76,,
75,,
77,,
78,,
74,,
75,,
79,,
78,,
79,,
79,,
76,,
75,,
77,,
79,,
77,,
77,,
78,,
75,,
75,,
77,,
77,,
76,,
74,,
75,,
76,,
75,,
75,,
78,,
74,,
77,,
78,,
78,,
78,,
74,,
75,,
77,,
80,,
78,,
76,,
73,,
76,,
76,,
76,,
77,,
75,,
78,,
77,,
75,,
75,,
75,,
75,,
76,,
78,,
78,,
76,,
76,,
75,,
77,,
76,,
80,,
75,,
74,,
77,,
290,,
290,,
296,,
197,,
139,,
118,,
599,,
259,,
77,,
