data,age,gender
36,22,0
35,,
35,,
36,,
38,,
38,,
35,,
35,,
38,,
36,,
34,,
34,,
35,,
34,,
34,,
34,,
34,,
34,,
35,,
34,,
36,,
36,,
37,,
34,,
35,,
36,,
34,,
34,,
35,,
34,,
34,,
33,,
36,,
35,,
34,,
34,,
34,,
36,,
36,,
35,,
37,,
36,,
36,,
36,,
35,,
36,,
35,,
35,,
37,,
37,,
36,,
35,,
34,,
36,,
34,,
35,,
33,,
33,,
34,,
36,,
36,,
36,,
35,,
36,,
36,,
36,,
34,,
35,,
36,,
35,,
33,,
33,,
34,,
34,,
35,,
36,,
36,,
36,,
36,,
36,,
35,,
36,,
36,,
39,,
37,,
40,,
41,,
45,,
48,,
34,,
35,,
35,,
50,,
50,,
50,,
50,,
36,,
42,,
49,,
48,,
49,,
47,,
47,,
45,,
45,,
44,,
43,,
45,,
45,,
34,,
35,,
35,,
37,,
35,,
36,,
36,,
37,,
35,,
34,,
34,,
33,,
35,,
34,,
35,,
45,,
679,,
679,,
354,,
0,,
189,,
964,,
964,,
963,,
962,,
964,,
963,,
963,,
960,,
963,,
964,,
963,,
679,,
476,,
336,,
233,,
170,,
121,,
121,,
96,,
76,,
66,,
55,,
48,,
39,,
37,,
100,,
679,,
329,,
329,,
395,,
541,,
593,,
404,,
262,,
372,,
340,,
472,,
479,,
258,,
258,,
962,,
964,,
962,,
962,,
963,,
962,,
962,,
961,,
777,,
777,,
539,,
369,,
252,,
166,,
115,,
73,,
42,,
34,,
35,,
36,,
36,,
34,,
36,,
40,,
52,,
44,,
61,,
89,,
57,,
54,,
78,,
78,,
78,,
69,,
49,,
35,,
53,,
42,,
34,,
34,,
45,,
55,,
55,,
64,,
59,,
53,,
45,,
40,,
38,,
34,,
33,,
34,,
34,,
34,,
34,,
33,,
34,,
33,,
35,,
34,,
33,,
33,,
38,,
49,,
49,,
64,,
115,,
49,,
43,,
58,,
66,,
94,,
613,,
576,,
155,,
155,,
294,,
336,,
298,,
252,,
150,,
229,,
197,,
390,,
10,,
0,,
0,,
965,,
962,,
963,,
932,,
961,,
954,,
963,,
943,,
943,,
961,,
963,,
965,,
962,,
960,,
578,,
234,,
221,,
980,,
755,,
755,,
962,,
961,,
960,,
778,,
633,,
511,,
396,,
304,,
228,,
167,,
167,,
128,,
80,,
62,,
53,,
46,,
43,,
44,,
44,,
44,,
66,,
66,,
116,,
102,,
52,,
66,,
81,,
78,,
54,,
74,,
179,,
218,,
218,,
208,,
197,,
145,,
68,,
93,,
102,,
77,,
172,,
183,,
134,,
134,,
136,,
109,,
75,,
75,,
106,,
141,,
161,,
160,,
146,,
129,,
129,,
121,,
108,,
98,,
86,,
76,,
70,,
62,,
52,,
48,,
50,,
50,,
55,,
57,,
58,,
52,,
54,,
50,,
52,,
54,,
61,,
54,,
54,,
57,,
57,,
59,,
58,,
58,,
62,,
74,,
81,,
85,,
84,,
84,,
63,,
79,,
97,,
92,,
74,,
62,,
60,,
66,,
61,,
66,,
66,,
76,,
71,,
72,,
72,,
70,,
67,,
67,,
62,,
56,,
