data,age,gender
241,18,0
241,,
164,,
191,,
234,,
197,,
199,,
165,,
170,,
203,,
172,,
195,,
195,,
173,,
193,,
236,,
183,,
223,,
184,,
144,,
231,,
241,,
276,,
276,,
237,,
232,,
226,,
223,,
231,,
241,,
193,,
228,,
247,,
318,,
318,,
250,,
195,,
213,,
187,,
218,,
276,,
278,,
517,,
663,,
465,,
465,,
297,,
203,,
242,,
212,,
242,,
232,,
257,,
318,,
315,,
248,,
248,,
281,,
234,,
266,,
213,,
201,,
221,,
175,,
237,,
247,,
207,,
207,,
213,,
193,,
263,,
186,,
202,,
212,,
250,,
175,,
218,,
228,,
228,,
244,,
198,,
233,,
170,,
196,,
197,,
202,,
191,,
213,,
212,,
212,,
206,,
181,,
213,,
185,,
229,,
183,,
196,,
212,,
158,,
224,,
224,,
178,,
218,,
213,,
209,,
219,,
195,,
194,,
208,,
263,,
181,,
181,,
181,,
223,,
256,,
209,,
209,,
221,,
242,,
229,,
220,,
215,,
215,,
220,,
210,,
238,,
221,,
247,,
195,,
215,,
198,,
168,,
192,,
192,,
191,,
162,,
237,,
176,,
183,,
182,,
161,,
195,,
206,,
214,,
214,,
189,,
272,,
167,,
133,,
305,,
246,,
123,,
128,,
156,,
161,,
161,,
142,,
123,,
244,,
160,,
131,,
219,,
201,,
144,,
183,,
243,,
243,,
186,,
213,,
279,,
342,,
360,,
382,,
270,,
212,,
279,,
224,,
224,,
252,,
261,,
246,,
241,,
217,,
137,,
287,,
256,,
241,,
233,,
233,,
256,,
248,,
245,,
202,,
169,,
170,,
157,,
262,,
139,,
150,,
150,,
142,,
182,,
149,,
134,,
154,,
137,,
119,,
129,,
113,,
113,,
113,,
90,,
105,,
108,,
129,,
93,,
72,,
96,,
114,,
100,,
100,,
100,,
150,,
90,,
81,,
113,,
113,,
115,,
86,,
230,,
137,,
93,,
93,,
119,,
140,,
118,,
111,,
116,,
149,,
187,,
194,,
248,,
164,,
164,,
104,,
96,,
133,,
171,,
219,,
161,,
113,,
118,,
104,,
191,,
191,,
330,,
241,,
351,,
247,,
204,,
145,,
125,,
111,,
104,,
129,,
129,,
232,,
160,,
195,,
237,,
151,,
130,,
128,,
157,,
99,,
97,,
97,,
182,,
128,,
106,,
115,,
132,,
106,,
143,,
184,,
188,,
120,,
120,,
88,,
105,,
100,,
104,,
107,,
122,,
99,,
109,,
108,,
107,,
107,,
114,,
125,,
169,,
109,,
106,,
106,,
115,,
112,,
140,,
132,,
132,,
129,,
98,,
96,,
96,,
114,,
103,,
111,,
192,,
127,,
168,,
168,,
269,,
428,,
668,,
848,,
873,,
665,,
478,,
237,,
171,,
196,,
196,,
189,,
185,,
194,,
209,,
190,,
286,,
219,,
216,,
180,,
208,,
208,,
217,,
186,,
251,,
483,,
624,,
711,,
720,,
672,,
475,,
384,,
384,,
225,,
201,,
195,,
194,,
227,,
201,,
221,,
207,,
245,,
193,,
193,,
261,,
455,,
586,,
397,,
326,,
257,,
335,,
464,,
704,,
471,,
471,,
236,,
381,,
387,,
325,,
300,,
480,,
884,,
958,,
961,,
962,,
962,,
962,,
961,,
806,,
410,,
234,,
221,,
427,,
295,,
293,,
322,,
322,,
227,,
292,,
278,,
191,,
216,,
182,,
229,,
206,,
233,,
221,,
221,,
268,,
256,,
313,,
312,,
271,,
350,,
413,,
679,,
962,,
961,,
961,,
350,,
889,,
959,,
961,,
961,,
960,,
781,,
512,,
354,,
262,,
262,,
244,,
313,,
152,,
277,,
437,,
828,,
962,,
849,,
728,,
801,,
801,,
691,,
656,,
601,,
513,,
785,,
542,,
421,,
962,,
960,,
961,,
961,,
961,,
578,,
229,,
301,,
230,,
229,,
206,,
244,,
275,,
373,,
373,,
668,,
957,,
963,,
961,,
961,,
961,,
960,,
939,,
484,,
375,,
375,,
762,,
380,,
629,,
960,,
958,,
961,,
962,,
784,,
341,,
239,,
239,,
558,,
962,,
963,,
961,,
962,,
962,,
962,,
961,,
962,,
962,,
962,,
961,,
886,,
876,,
828,,
917,,
904,,
948,,
643,,
563,,
402,,
402,,
278,,
250,,
231,,
201,,
178,,
171,,
157,,
225,,
159,,
179,,
179,,
166,,
190,,
197,,
144,,
144,,
180,,
157,,
158,,
213,,
152,,
152,,
138,,
151,,
150,,
188,,
152,,
145,,
130,,
164,,
165,,
136,,
136,,
125,,
125,,
208,,
215,,
218,,
273,,
193,,
239,,
168,,
153,,
153,,
186,,
190,,
165,,
182,,
178,,
176,,
201,,
205,,
201,,
211,,
211,,
197,,
205,,
266,,
167,,
177,,
203,,
194,,
189,,
172,,
155,,
155,,
214,,
177,,
149,,
158,,
162,,
167,,
224,,
242,,
388,,
608,,
608,,
670,,
289,,
962,,
959,,
959,,
959,,
961,,
960,,
956,,
960,,
960,,
761,,
437,,
285,,
164,,
173,,
332,,
513,,
554,,
510,,
425,,
425,,
436,,
357,,
351,,
396,,
338,,
160,,
119,,
178,,
152,,
137,,
137,,
216,,
224,,
165,,
178,,
298,,
186,,
168,,
229,,
180,,
208,,
208,,
164,,
176,,
102,,
149,,
183,,
195,,
90,,
138,,
140,,
144,,
144,,
151,,
106,,
102,,
149,,
130,,
117,,
96,,
208,,
214,,
206,,
206,,
279,,
189,,
120,,
155,,
149,,
80,,
101,,
87,,
124,,
95,,
95,,
128,,
175,,
138,,
133,,
224,,
239,,
157,,
122,,
122,,
