data,age,gender
355,23,0
355,,
314,,
403,,
380,,
361,,
365,,
326,,
315,,
294,,
278,,
259,,
259,,
268,,
283,,
298,,
286,,
288,,
272,,
280,,
298,,
356,,
311,,
311,,
425,,
424,,
430,,
418,,
331,,
240,,
268,,
256,,
207,,
228,,
228,,
281,,
184,,
240,,
331,,
242,,
289,,
333,,
287,,
229,,
262,,
262,,
221,,
249,,
259,,
308,,
224,,
260,,
281,,
330,,
333,,
378,,
378,,
324,,
322,,
322,,
624,,
434,,
468,,
416,,
479,,
359,,
431,,
431,,
346,,
274,,
287,,
345,,
347,,
319,,
318,,
379,,
346,,
325,,
325,,
234,,
306,,
339,,
292,,
235,,
296,,
236,,
260,,
336,,
272,,
272,,
253,,
283,,
248,,
321,,
354,,
272,,
352,,
374,,
268,,
273,,
273,,
246,,
262,,
243,,
326,,
197,,
225,,
297,,
263,,
278,,
306,,
306,,
259,,
248,,
263,,
326,,
271,,
271,,
299,,
213,,
213,,
267,,
267,,
235,,
245,,
309,,
246,,
285,,
246,,
247,,
244,,
246,,
278,,
278,,
331,,
274,,
265,,
234,,
221,,
221,,
451,,
280,,
303,,
245,,
245,,
304,,
246,,
238,,
225,,
207,,
230,,
276,,
309,,
286,,
232,,
232,,
317,,
251,,
282,,
266,,
261,,
256,,
170,,
272,,
244,,
202,,
202,,
289,,
252,,
236,,
181,,
244,,
243,,
192,,
247,,
256,,
295,,
295,,
476,,
721,,
905,,
913,,
917,,
917,,
913,,
929,,
671,,
348,,
348,,
303,,
304,,
357,,
373,,
452,,
491,,
485,,
474,,
522,,
418,,
418,,
375,,
358,,
324,,
287,,
271,,
264,,
249,,
268,,
256,,
214,,
214,,
218,,
268,,
300,,
210,,
262,,
206,,
251,,
258,,
249,,
277,,
277,,
244,,
327,,
258,,
290,,
209,,
244,,
268,,
240,,
253,,
208,,
208,,
267,,
252,,
230,,
231,,
312,,
237,,
216,,
274,,
197,,
219,,
219,,
285,,
246,,
227,,
241,,
247,,
197,,
290,,
208,,
281,,
299,,
299,,
277,,
225,,
320,,
280,,
214,,
277,,
284,,
245,,
232,,
253,,
253,,
298,,
292,,
439,,
835,,
926,,
925,,
928,,
923,,
928,,
544,,
544,,
385,,
316,,
278,,
320,,
362,,
412,,
533,,
484,,
525,,
447,,
447,,
445,,
600,,
469,,
432,,
405,,
316,,
342,,
313,,
310,,
253,,
253,,
303,,
266,,
226,,
202,,
259,,
228,,
244,,
235,,
212,,
249,,
249,,
251,,
260,,
186,,
256,,
279,,
190,,
170,,
279,,
237,,
198,,
198,,
254,,
173,,
214,,
193,,
226,,
226,,
174,,
251,,
491,,
334,,
334,,
317,,
200,,
331,,
316,,
256,,
314,,
330,,
370,,
649,,
925,,
925,,
925,,
925,,
925,,
921,,
607,,
399,,
271,,
304,,
307,,
359,,
359,,
521,,
606,,
557,,
507,,
419,,
359,,
315,,
269,,
332,,
296,,
296,,
202,,
308,,
272,,
297,,
259,,
248,,
238,,
258,,
272,,
259,,
259,,
303,,
248,,
242,,
248,,
356,,
225,,
275,,
251,,
236,,
200,,
200,,
226,,
309,,
234,,
240,,
201,,
188,,
223,,
257,,
238,,
297,,
297,,
270,,
313,,
352,,
363,,
443,,
378,,
406,,
334,,
296,,
293,,
293,,
248,,
269,,
206,,
232,,
196,,
206,,
270,,
203,,
214,,
280,,
280,,
309,,
234,,
320,,
220,,
255,,
350,,
252,,
324,,
242,,
259,,
259,,
250,,
228,,
318,,
229,,
340,,
317,,
309,,
211,,
294,,
264,,
264,,
195,,
233,,
249,,
223,,
285,,
256,,
247,,
231,,
229,,
222,,
222,,
258,,
231,,
243,,
340,,
196,,
238,,
218,,
244,,
252,,
241,,
241,,
235,,
196,,
300,,
286,,
245,,
321,,
266,,
215,,
261,,
195,,
195,,
168,,
189,,
199,,
208,,
328,,
261,,
219,,
242,,
243,,
279,,
279,,
248,,
266,,
277,,
258,,
262,,
245,,
258,,
240,,
199,,
263,,
263,,
277,,
235,,
265,,
264,,
181,,
180,,
234,,
243,,
249,,
268,,
268,,
273,,
247,,
243,,
268,,
200,,
247,,
231,,
313,,
293,,
226,,
226,,
235,,
267,,
250,,
285,,
389,,
385,,
374,,
250,,
316,,
267,,
267,,
469,,
842,,
811,,
382,,
694,,
917,,
916,,
914,,
916,,
879,,
879,,
514,,
344,,
324,,
236,,
262,,
275,,
303,,
333,,
299,,
306,,
306,,
315,,
346,,
292,,
323,,
257,,
246,,
267,,
244,,
291,,
256,,
256,,
221,,
228,,
260,,
249,,
178,,
215,,
320,,
216,,
320,,
379,,
379,,
283,,
246,,
281,,
215,,
302,,
489,,
651,,
807,,
914,,
911,,
911,,
866,,
635,,
425,,
352,,
276,,
356,,
313,,
260,,
256,,
236,,
236,,
227,,
260,,
237,,
285,,
191,,
193,,
299,,
209,,
277,,
381,,
381,,
310,,
323,,
330,,
339,,
332,,
297,,
260,,
264,,
257,,
275,,
275,,
249,,
218,,
287,,
266,,
256,,
264,,
257,,
250,,
201,,
195,,
195,,
154,,
190,,
240,,
242,,
252,,
277,,
220,,
283,,
273,,
258,,
258,,
260,,
280,,
239,,
263,,
233,,
175,,
220,,
299,,
266,,
265,,
265,,
223,,
230,,
195,,
243,,
265,,
255,,
246,,
238,,
226,,
274,,
274,,
180,,
220,,
260,,
219,,
253,,
227,,
192,,
219,,
203,,
221,,
221,,
208,,
202,,
214,,
242,,
226,,
411,,
276,,
335,,
293,,
311,,
311,,
331,,
300,,
361,,
429,,
384,,
379,,
457,,
377,,
413,,
437,,
437,,
360,,
285,,
458,,
414,,
452,,
442,,
398,,
316,,
418,,
400,,
400,,
322,,
257,,
276,,
264,,
297,,
262,,
253,,
227,,
286,,
290,,
290,,
289,,
313,,
300,,
236,,
313,,
267,,
231,,
322,,
336,,
291,,
291,,
300,,
242,,
168,,
271,,
217,,
242,,
364,,
262,,
264,,
309,,
309,,
278,,
207,,
381,,
300,,
244,,
286,,
203,,
205,,
256,,
200,,
200,,
180,,
256,,
230,,
292,,
295,,
221,,
231,,
324,,
268,,
316,,
316,,
379,,
340,,
282,,
315,,
326,,
217,,
297,,
237,,
311,,
282,,
282,,
265,,
325,,
240,,
192,,
315,,
290,,
233,,
248,,
302,,
242,,
242,,
207,,
232,,
227,,
321,,
250,,
