data,age,gender
173,23,0
173,,
167,,
126,,
224,,
143,,
151,,
255,,
207,,
183,,
196,,
164,,
164,,
154,,
198,,
135,,
266,,
185,,
156,,
230,,
140,,
132,,
216,,
216,,
135,,
175,,
129,,
146,,
170,,
192,,
175,,
155,,
189,,
132,,
132,,
137,,
130,,
110,,
127,,
171,,
144,,
149,,
202,,
159,,
168,,
168,,
179,,
228,,
171,,
144,,
296,,
293,,
326,,
368,,
320,,
326,,
326,,
290,,
351,,
364,,
294,,
258,,
311,,
157,,
175,,
184,,
187,,
187,,
151,,
262,,
134,,
173,,
147,,
161,,
182,,
182,,
150,,
154,,
154,,
176,,
126,,
154,,
170,,
140,,
168,,
189,,
140,,
171,,
196,,
196,,
172,,
154,,
280,,
251,,
186,,
211,,
193,,
223,,
196,,
386,,
386,,
252,,
201,,
160,,
234,,
204,,
154,,
242,,
141,,
147,,
272,,
272,,
134,,
156,,
205,,
146,,
152,,
221,,
138,,
214,,
201,,
163,,
163,,
216,,
188,,
176,,
213,,
192,,
244,,
177,,
180,,
202,,
166,,
166,,
164,,
229,,
224,,
175,,
207,,
275,,
215,,
148,,
155,,
178,,
178,,
214,,
161,,
232,,
141,,
155,,
200,,
167,,
160,,
151,,
203,,
203,,
189,,
160,,
207,,
218,,
150,,
236,,
166,,
151,,
171,,
242,,
242,,
202,,
185,,
244,,
165,,
213,,
223,,
216,,
196,,
187,,
183,,
183,,
196,,
193,,
251,,
184,,
158,,
272,,
141,,
150,,
209,,
145,,
145,,
161,,
160,,
178,,
170,,
183,,
182,,
198,,
195,,
235,,
209,,
209,,
190,,
198,,
150,,
227,,
186,,
163,,
221,,
203,,
173,,
184,,
184,,
185,,
192,,
155,,
195,,
159,,
162,,
232,,
186,,
192,,
228,,
228,,
170,,
195,,
184,,
164,,
237,,
162,,
163,,
211,,
181,,
126,,
126,,
217,,
166,,
167,,
234,,
202,,
179,,
137,,
176,,
169,,
186,,
186,,
187,,
235,,
176,,
208,,
193,,
202,,
224,,
151,,
202,,
152,,
152,,
188,,
198,,
198,,
204,,
149,,
160,,
191,,
151,,
149,,
242,,
242,,
172,,
158,,
226,,
157,,
166,,
229,,
148,,
182,,
183,,
144,,
144,,
191,,
251,,
187,,
188,,
182,,
179,,
248,,
154,,
153,,
233,,
233,,
198,,
170,,
176,,
154,,
174,,
206,,
148,,
206,,
217,,
189,,
189,,
198,,
181,,
183,,
194,,
180,,
162,,
205,,
290,,
203,,
167,,
167,,
198,,
158,,
159,,
159,,
246,,
180,,
150,,
237,,
194,,
247,,
247,,
232,,
138,,
154,,
271,,
169,,
212,,
230,,
138,,
186,,
307,,
307,,
162,,
217,,
187,,
172,,
272,,
175,,
183,,
222,,
185,,
283,,
283,,
232,,
223,,
265,,
248,,
229,,
241,,
231,,
197,,
169,,
169,,
169,,
147,,
169,,
154,,
161,,
179,,
287,,
246,,
200,,
222,,
157,,
157,,
203,,
212,,
148,,
199,,
195,,
245,,
309,,
254,,
300,,
335,,
335,,
346,,
243,,
236,,
265,,
197,,
210,,
245,,
204,,
237,,
238,,
238,,
400,,
443,,
410,,
344,,
481,,
380,,
384,,
341,,
173,,
220,,
220,,
220,,
187,,
285,,
155,,
197,,
249,,
200,,
244,,
250,,
198,,
198,,
195,,
258,,
199,,
174,,
254,,
220,,
193,,
193,,
159,,
215,,
215,,
200,,
198,,
268,,
257,,
294,,
189,,
195,,
188,,
198,,
192,,
192,,
221,,
187,,
165,,
265,,
293,,
290,,
251,,
244,,
160,,
172,,
172,,
173,,
234,,
299,,
273,,
266,,
282,,
234,,
224,,
245,,
239,,
239,,
201,,
176,,
213,,
392,,
497,,
585,,
533,,
470,,
397,,
289,,
289,,
297,,
228,,
423,,
962,,
961,,
957,,
961,,
961,,
961,,
838,,
838,,
306,,
193,,
408,,
466,,
580,,
805,,
658,,
249,,
834,,
961,,
961,,
962,,
961,,
960,,
722,,
369,,
197,,
320,,
462,,
576,,
720,,
720,,
834,,
728,,
699,,
757,,
661,,
593,,
548,,
414,,
358,,
403,,
403,,
398,,
441,,
494,,
421,,
389,,
333,,
267,,
762,,
961,,
961,,
961,,
960,,
961,,
961,,
959,,
864,,
472,,
222,,
470,,
764,,
845,,
845,,
876,,
791,,
745,,
692,,
587,,
565,,
567,,
503,,
429,,
421,,
421,,
360,,
329,,
381,,
346,,
324,,
382,,
333,,
315,,
332,,
337,,
337,,
245,,
348,,
265,,
286,,
371,,
305,,
270,,
354,,
235,,
278,,
278,,
331,,
326,,
253,,
325,,
295,,
276,,
333,,
286,,
250,,
341,,
341,,
277,,
297,,
311,,
286,,
266,,
315,,
316,,
330,,
362,,
340,,
340,,
314,,
334,,
362,,
314,,
355,,
336,,
269,,
363,,
316,,
303,,
303,,
335,,
256,,
326,,
331,,
272,,
275,,
319,,
265,,
320,,
271,,
271,,
288,,
313,,
270,,
264,,
286,,
253,,
229,,
332,,
288,,
234,,
234,,
286,,
303,,
335,,
305,,
253,,
268,,
271,,
229,,
358,,
246,,
246,,
247,,
222,,
205,,
320,,
232,,
241,,
328,,
269,,
208,,
312,,
312,,
269,,
205,,
274,,
232,,
188,,
295,,
198,,
242,,
254,,
226,,
226,,
215,,
212,,
184,,
251,,
244,,
180,,
226,,
236,,
245,,
230,,
230,,
250,,
608,,
961,,
960,,
961,,
961,,
961,,
961,,
960,,
715,,
715,,
471,,
181,,
277,,
264,,
229,,
310,,
266,,
269,,
392,,
314,,
314,,
336,,
361,,
378,,
334,,
409,,
352,,
272,,
323,,
280,,
295,,
295,,
311,,
328,,
267,,
358,,
268,,
304,,
336,,
268,,
294,,
277,,
277,,
230,,
225,,
224,,
262,,
247,,
269,,
292,,
242,,
258,,
304,,
304,,
259,,
277,,
207,,
270,,
244,,
207,,
393,,
255,,
237,,
182,,
182,,
184,,
264,,
209,,
252,,
239,,
200,,
271,,
235,,
251,,
267,,
267,,
273,,
